ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,7/13/2022 12:00:00 AM,$0.48,$0.49,$0.48,$0.48,1610
Democratic,7/13/2022 12:00:00 AM,$0.55,$0.55,$0.53,$0.53,2192
Republican,7/14/2022 12:00:00 AM,$0.48,$0.50,$0.48,$0.49,2008
Democratic,7/14/2022 12:00:00 AM,$0.53,$0.54,$0.52,$0.53,2023
Republican,7/15/2022 12:00:00 AM,$0.49,$0.49,$0.48,$0.49,2521
Democratic,7/15/2022 12:00:00 AM,$0.53,$0.54,$0.53,$0.54,319
Republican,7/16/2022 12:00:00 AM,$0.49,$0.49,$0.47,$0.47,2048
Democratic,7/16/2022 12:00:00 AM,$0.54,$0.55,$0.53,$0.55,1697
Republican,7/17/2022 12:00:00 AM,$0.47,$0.48,$0.47,$0.48,2601
Democratic,7/17/2022 12:00:00 AM,$0.55,$0.55,$0.53,$0.53,869
Republican,7/18/2022 12:00:00 AM,$0.48,$0.48,$0.47,$0.47,1320
Democratic,7/18/2022 12:00:00 AM,$0.53,$0.55,$0.53,$0.53,3106
Republican,7/19/2022 12:00:00 AM,$0.47,$0.48,$0.44,$0.44,3959
Democratic,7/19/2022 12:00:00 AM,$0.53,$0.56,$0.53,$0.56,2650
Republican,7/20/2022 12:00:00 AM,$0.44,$0.46,$0.44,$0.46,1866
Democratic,7/20/2022 12:00:00 AM,$0.56,$0.56,$0.55,$0.55,1909
Republican,7/21/2022 12:00:00 AM,$0.46,$0.46,$0.44,$0.44,365
Democratic,7/21/2022 12:00:00 AM,$0.55,$0.56,$0.55,$0.56,977
Republican,7/22/2022 12:00:00 AM,$0.44,$0.46,$0.44,$0.44,308
Democratic,7/22/2022 12:00:00 AM,$0.56,$0.56,$0.54,$0.56,233
Republican,7/23/2022 12:00:00 AM,$0.44,$0.46,$0.44,$0.45,370
Democratic,7/23/2022 12:00:00 AM,$0.56,$0.56,$0.56,$0.56,790
Republican,7/24/2022 12:00:00 AM,$0.45,$0.46,$0.45,$0.46,147
Democratic,7/24/2022 12:00:00 AM,$0.56,$0.56,$0.55,$0.56,461
Republican,7/25/2022 12:00:00 AM,$0.46,$0.46,$0.44,$0.46,656
Democratic,7/25/2022 12:00:00 AM,$0.56,$0.57,$0.55,$0.56,2072
Republican,7/26/2022 12:00:00 AM,$0.46,$0.46,$0.44,$0.44,1983
Democratic,7/26/2022 12:00:00 AM,$0.56,$0.56,$0.55,$0.56,674
Republican,7/27/2022 12:00:00 AM,$0.44,$0.46,$0.43,$0.44,4297
Democratic,7/27/2022 12:00:00 AM,$0.56,$0.58,$0.55,$0.58,7490
Republican,7/28/2022 12:00:00 AM,$0.44,$0.45,$0.42,$0.42,2130
Democratic,7/28/2022 12:00:00 AM,$0.58,$0.58,$0.56,$0.58,2281
Republican,7/29/2022 12:00:00 AM,$0.42,$0.44,$0.42,$0.42,876
Democratic,7/29/2022 12:00:00 AM,$0.58,$0.59,$0.57,$0.59,1441
Republican,7/30/2022 12:00:00 AM,$0.42,$0.44,$0.42,$0.44,1498
Democratic,7/30/2022 12:00:00 AM,$0.59,$0.59,$0.57,$0.58,674
Republican,7/31/2022 12:00:00 AM,$0.44,$0.44,$0.41,$0.42,3092
Democratic,7/31/2022 12:00:00 AM,$0.58,$0.60,$0.57,$0.60,3772
Republican,8/1/2022 12:00:00 AM,$0.42,$0.43,$0.41,$0.42,2315
Democratic,8/1/2022 12:00:00 AM,$0.60,$0.60,$0.57,$0.58,740
Republican,8/2/2022 12:00:00 AM,$0.42,$0.43,$0.41,$0.41,2696
Democratic,8/2/2022 12:00:00 AM,$0.58,$0.61,$0.58,$0.59,2659
Republican,8/3/2022 12:00:00 AM,$0.41,$0.42,$0.39,$0.40,2385
Democratic,8/3/2022 12:00:00 AM,$0.59,$0.61,$0.59,$0.61,1391
Republican,8/4/2022 12:00:00 AM,$0.40,$0.42,$0.39,$0.40,4558
Democratic,8/4/2022 12:00:00 AM,$0.61,$0.62,$0.60,$0.60,3864
Republican,8/5/2022 12:00:00 AM,$0.40,$0.42,$0.37,$0.39,5361
Democratic,8/5/2022 12:00:00 AM,$0.60,$0.63,$0.60,$0.63,3365
Republican,8/6/2022 12:00:00 AM,$0.39,$0.41,$0.39,$0.39,1243
Democratic,8/6/2022 12:00:00 AM,$0.63,$0.63,$0.61,$0.61,568
Republican,8/7/2022 12:00:00 AM,$0.39,$0.41,$0.38,$0.39,1464
Democratic,8/7/2022 12:00:00 AM,$0.61,$0.63,$0.60,$0.62,1655
Republican,8/8/2022 12:00:00 AM,$0.39,$0.41,$0.37,$0.39,2181
Democratic,8/8/2022 12:00:00 AM,$0.62,$0.64,$0.62,$0.62,2503
Republican,8/9/2022 12:00:00 AM,$0.39,$0.43,$0.39,$0.41,3152
Democratic,8/9/2022 12:00:00 AM,$0.62,$0.63,$0.61,$0.62,559
Republican,8/10/2022 12:00:00 AM,$0.41,$0.41,$0.39,$0.40,153
Democratic,8/10/2022 12:00:00 AM,$0.62,$0.63,$0.61,$0.61,595
Republican,8/11/2022 12:00:00 AM,$0.40,$0.43,$0.40,$0.43,3547
Democratic,8/11/2022 12:00:00 AM,$0.61,$0.62,$0.61,$0.61,2424
Republican,8/12/2022 12:00:00 AM,$0.43,$0.43,$0.41,$0.41,2351
Democratic,8/12/2022 12:00:00 AM,$0.61,$0.63,$0.60,$0.62,1933
Republican,8/13/2022 12:00:00 AM,$0.41,$0.42,$0.41,$0.41,399
Democratic,8/13/2022 12:00:00 AM,$0.62,$0.62,$0.61,$0.61,283
Republican,8/14/2022 12:00:00 AM,$0.41,$0.42,$0.41,$0.42,519
Democratic,8/14/2022 12:00:00 AM,$0.61,$0.62,$0.61,$0.62,154
Republican,8/15/2022 12:00:00 AM,$0.42,$0.42,$0.40,$0.41,2602
Democratic,8/15/2022 12:00:00 AM,$0.62,$0.62,$0.60,$0.60,4005
Republican,8/16/2022 12:00:00 AM,$0.41,$0.42,$0.40,$0.42,2516
Democratic,8/16/2022 12:00:00 AM,$0.60,$0.61,$0.59,$0.60,2980
Republican,8/17/2022 12:00:00 AM,$0.42,$0.43,$0.41,$0.41,4963
Democratic,8/17/2022 12:00:00 AM,$0.60,$0.61,$0.57,$0.59,4487
Republican,8/18/2022 12:00:00 AM,$0.41,$0.43,$0.41,$0.43,588
Democratic,8/18/2022 12:00:00 AM,$0.59,$0.60,$0.59,$0.59,671
Republican,8/19/2022 12:00:00 AM,$0.43,$0.44,$0.41,$0.44,3176
Democratic,8/19/2022 12:00:00 AM,$0.59,$0.61,$0.58,$0.59,4011
Republican,8/20/2022 12:00:00 AM,$0.44,$0.44,$0.42,$0.44,2494
Democratic,8/20/2022 12:00:00 AM,$0.59,$0.60,$0.59,$0.59,664
Republican,8/21/2022 12:00:00 AM,$0.44,$0.44,$0.42,$0.42,1110
Democratic,8/21/2022 12:00:00 AM,$0.59,$0.60,$0.59,$0.60,612
Republican,8/22/2022 12:00:00 AM,$0.42,$0.44,$0.42,$0.42,1081
Democratic,8/22/2022 12:00:00 AM,$0.60,$0.61,$0.59,$0.60,2162
Republican,8/23/2022 12:00:00 AM,$0.42,$0.43,$0.39,$0.40,3193
Democratic,8/23/2022 12:00:00 AM,$0.60,$0.62,$0.59,$0.61,5272
Republican,8/24/2022 12:00:00 AM,$0.40,$0.41,$0.38,$0.39,4058
Democratic,8/24/2022 12:00:00 AM,$0.61,$0.63,$0.61,$0.63,4595
Republican,8/25/2022 12:00:00 AM,$0.39,$0.41,$0.38,$0.40,1682
Democratic,8/25/2022 12:00:00 AM,$0.63,$0.63,$0.61,$0.63,4316
Republican,8/26/2022 12:00:00 AM,$0.40,$0.40,$0.39,$0.40,347
Democratic,8/26/2022 12:00:00 AM,$0.63,$0.63,$0.61,$0.61,1398
Republican,8/27/2022 12:00:00 AM,$0.40,$0.40,$0.39,$0.40,1208
Democratic,8/27/2022 12:00:00 AM,$0.61,$0.62,$0.61,$0.61,487
Republican,8/28/2022 12:00:00 AM,$0.40,$0.41,$0.39,$0.40,2630
Democratic,8/28/2022 12:00:00 AM,$0.61,$0.63,$0.61,$0.61,2650
Republican,8/29/2022 12:00:00 AM,$0.40,$0.41,$0.39,$0.40,2275
Democratic,8/29/2022 12:00:00 AM,$0.61,$0.62,$0.60,$0.62,3254
Republican,8/30/2022 12:00:00 AM,$0.40,$0.50,$0.39,$0.46,16670
Democratic,8/30/2022 12:00:00 AM,$0.62,$0.62,$0.56,$0.56,14339
Republican,8/31/2022 12:00:00 AM,$0.46,$0.47,$0.43,$0.45,4705
Democratic,8/31/2022 12:00:00 AM,$0.56,$0.60,$0.56,$0.59,7580
Republican,9/1/2022 12:00:00 AM,$0.45,$0.46,$0.43,$0.45,5093
Democratic,9/1/2022 12:00:00 AM,$0.59,$0.59,$0.56,$0.57,5341
Republican,9/2/2022 12:00:00 AM,$0.45,$0.46,$0.44,$0.45,3751
Democratic,9/2/2022 12:00:00 AM,$0.57,$0.59,$0.57,$0.57,3919
Republican,9/3/2022 12:00:00 AM,$0.45,$0.46,$0.45,$0.46,1029
Democratic,9/3/2022 12:00:00 AM,$0.57,$0.58,$0.56,$0.58,1489
Republican,9/4/2022 12:00:00 AM,$0.46,$0.46,$0.45,$0.45,966
Democratic,9/4/2022 12:00:00 AM,$0.58,$0.58,$0.56,$0.57,2902
Republican,9/5/2022 12:00:00 AM,$0.45,$0.47,$0.45,$0.46,424
Democratic,9/5/2022 12:00:00 AM,$0.57,$0.58,$0.57,$0.57,1439
Republican,9/6/2022 12:00:00 AM,$0.46,$0.47,$0.44,$0.47,5194
Democratic,9/6/2022 12:00:00 AM,$0.57,$0.59,$0.55,$0.57,7433
Republican,9/7/2022 12:00:00 AM,$0.47,$0.47,$0.45,$0.45,1306
Democratic,9/7/2022 12:00:00 AM,$0.57,$0.58,$0.56,$0.57,3294
Republican,9/8/2022 12:00:00 AM,$0.45,$0.48,$0.45,$0.47,5666
Democratic,9/8/2022 12:00:00 AM,$0.57,$0.58,$0.55,$0.56,6006
Republican,9/9/2022 12:00:00 AM,$0.47,$0.52,$0.47,$0.51,10029
Democratic,9/9/2022 12:00:00 AM,$0.56,$0.56,$0.50,$0.50,9212
Republican,9/10/2022 12:00:00 AM,$0.51,$0.52,$0.50,$0.52,7660
Democratic,9/10/2022 12:00:00 AM,$0.50,$0.52,$0.50,$0.50,7273
Republican,9/11/2022 12:00:00 AM,$0.52,$0.52,$0.50,$0.52,3194
Democratic,9/11/2022 12:00:00 AM,$0.50,$0.52,$0.50,$0.50,3200
Republican,9/12/2022 12:00:00 AM,$0.52,$0.52,$0.48,$0.51,6401
Democratic,9/12/2022 12:00:00 AM,$0.50,$0.54,$0.50,$0.52,4969
Republican,9/13/2022 12:00:00 AM,$0.51,$0.51,$0.49,$0.50,3958
Democratic,9/13/2022 12:00:00 AM,$0.52,$0.54,$0.50,$0.53,8250
Republican,9/14/2022 12:00:00 AM,$0.50,$0.51,$0.47,$0.48,8863
Democratic,9/14/2022 12:00:00 AM,$0.53,$0.56,$0.53,$0.54,3321
Republican,9/15/2022 12:00:00 AM,$0.48,$0.49,$0.46,$0.48,6377
Democratic,9/15/2022 12:00:00 AM,$0.54,$0.56,$0.54,$0.54,5487
Republican,9/16/2022 12:00:00 AM,$0.48,$0.49,$0.48,$0.49,2262
Democratic,9/16/2022 12:00:00 AM,$0.54,$0.54,$0.53,$0.54,1277
Republican,9/17/2022 12:00:00 AM,$0.49,$0.49,$0.47,$0.48,2053
Democratic,9/17/2022 12:00:00 AM,$0.54,$0.55,$0.54,$0.55,515
Republican,9/18/2022 12:00:00 AM,$0.48,$0.49,$0.47,$0.48,1974
Democratic,9/18/2022 12:00:00 AM,$0.55,$0.55,$0.54,$0.54,774
Republican,9/19/2022 12:00:00 AM,$0.48,$0.49,$0.47,$0.49,1283
Democratic,9/19/2022 12:00:00 AM,$0.54,$0.55,$0.53,$0.54,1518
Republican,9/20/2022 12:00:00 AM,$0.49,$0.54,$0.48,$0.52,10592
Democratic,9/20/2022 12:00:00 AM,$0.54,$0.54,$0.52,$0.52,3221
Republican,9/21/2022 12:00:00 AM,$0.52,$0.52,$0.50,$0.51,8876
Democratic,9/21/2022 12:00:00 AM,$0.52,$0.53,$0.50,$0.50,6440
Republican,9/22/2022 12:00:00 AM,$0.51,$0.52,$0.50,$0.52,4898
